SiteCode|BSCName|SiteName|NoofCells|Vendor|Assiciated City Name|OMC|SiteType|Priority|Type|Region|Sub-Region|Comm. Region|OSV|Proposed Region|Zone|MBU#|RBU
ABT0080|ISB200H__RNC_I-10 Building ISB_1|UABT0080__H_Kholla_Abbotabad|6|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT0286|ISB200H__RNC_I-10 Building ISB_1|UABT0286__H_MuqaddasPlaza|6|Huawei|ABBOTABAD|Huawei OMC|Hub|Hub|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT0836|ISB200H__RNC_I-10 Building ISB_1|UABT0836__H_Sikandarabad|6|Huawei|ABBOTABAD|Huawei OMC|Hub|Hub|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT1042|ISB200H__RNC_I-10 Building ISB_1|UABT1042__S_SarbanChowk|6|Huawei|ABBOTABAD|Huawei OMC|Platinum|Platinum|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT1159|ISB200H__RNC_I-10 Building ISB_1|UABT1159__S_Jhugiaan|6|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT1416|ISB200H__RNC_I-10 Building ISB_1|UABT1416__S_HabibullahColony|6|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT1451|ISB200H__RNC_I-10 Building ISB_1|UABT1451__S_Narian|6|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT1452|ISB200H__RNC_I-10 Building ISB_1|UABT1452__S_JabpulJahngi|6|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT1553|ISB200H__RNC_I-10 Building ISB_1|UABT1553__S_AyubComplex|6|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT1709|ISB200H__RNC_I-10 Building ISB_1|UABT1709__S_Abottabad1N|6|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT1869|ISB200H__RNC_I-10 Building ISB_1|UABT1869__S_BanniTownship|6|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT2076|ISB200H__RNC_I-10 Building ISB_1|UABT2076__S_Mandian|6|Huawei|ABBOTABAD|Huawei OMC|Platinum|Platinum|Macro|North|North I|North 3|Huawei|R1|15|14|North
ABT2587|ISB200H__RNC_I-10 Building ISB_1|UABT2587__S_JamiaGhousia|6|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|Huawei|R1|15|14|North
BHP0062|UMUL213E_RNC_MLTREX_1|BHP0062|6|Ericsson|BAHAWALPUR|Ericsson OMC|Hub|Hub|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP0259|UMUL213E_RNC_MLTREX_1|BHP0259|6|Ericsson|BAHAWALPUR|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP0399|UMUL213E_RNC_MLTREX_1|BHP0399|6|Ericsson|BAHAWALPUR|Ericsson OMC|Hub|Hub|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP0732|UMUL213E_RNC_MLTREX_1|BHP0732|3|Ericsson|BAHAWALPUR|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP0813|UMUL213E_RNC_MLTREX_1|BHP0813|3|Ericsson|BAHAWALPUR|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP3504|UMUL213E_RNC_MLTREX_1|BHP3504|6|Ericsson|BAHAWALPUR|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP3580|UMUL213E_RNC_MLTREX_1|BHP3580|3|Ericsson|BAHAWALPUR|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
BHP3659|UMUL213E_RNC_MLTREX_1|BHP3659|6|Ericsson|BAHAWALPUR|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Ericsson|R2|27|35|Central-II
