SiteCode|BSCName|SiteName|Vendor|Assiciated City Name|OMC|SiteType|Priority|Type|Region|Sub-Region|Comm. Region|OSV|Proposed Region|Zone|Swap Status|MBU#|RBU
APR3644|BHP101E|APR3644__H_QalindarHussain_APE|Ericsson|AHMADPUREAST|Ericsson OMC|Hub|Hub|Macro|Center III|Center III|Central 3|Mobiserve|R2|27||37|Central-II
APR3911|BHP101E|APR3911__H_GhallaMandiAPR_PW|Ericsson|AHMADPUREAST|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Mobiserve|R2|27||37|Central-II
MAR6182|BHP103E|MAR6182__S_ChakNo330HR|Ericsson|C658_Marot|Ericsson OMC|Silver|Silver|Macro|Center II|Center III|Central 5|Mobiserve|R2|28||52|Central-I
JAN6660|SUK342Z_SUKMGW_1|JAN6660__S_Nehal_KhanKaku|ZTE|JANDOWAN|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
JAN6662|SUK342Z_SUKMGW_1|JAN6662__H_Faqirabad2|ZTE|JANDOWAN|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
JUL7118|HYD311H__HYDMGW_1|JUL7118__Juluri P_58|Huawei|Juluri|Huawei OMC|Hub|Hub|Macro|South|South II|South 4|Myson|R2|34||72|South
APR7287|BHP101E|APR7287__S_MohallahMadni|Ericsson|AHMADPUREAST|Ericsson OMC|Silver|Silver|Macro|Center III|Center III|Central 3|Mobiserve|R2|27||37|Central-II
APR7485|BHP101E|APR7485__S_MohallahSarwarShah|Ericsson|AHMADPUREAST|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Mobiserve|R2|27||37|Central-II
APR8387|BHP101E|APR8387__S_AmeerAlamColony|Ericsson|AHMADPUREAST|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Mobiserve|R2|27||37|Central-II
APR8895|BHP101E|APR8895__S_AlShiekhTown|Ericsson|AHMADPUREAST|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|Mobiserve|R2|27||37|Central-II
AAK6991|GUJ002H__Ferozeabad_GUJ_2|AAK6991__S_Bhikki|Huawei|Mandi Bhudin|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 4|Mobiserve|R1|10||43|Central-I
AAL2251|ISB006H__I10_ISB_6|AAL2251__S_KARAG|Huawei|ALAI|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|16||12|North
AAL2252|ISB006H__I10_ISB_6|AAL2252__S_POKAL|Huawei|ALAI|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|16||12|North
AAL7845|ISB006H__I10_ISB_6|AAL7845__S_Syedabad|Huawei|ALAI|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|16||12|North
ABB4360|RYK_317Z_1_LCK|ABB4360|ZTE|ABBASIA|ZTE OMC|Silver|Silver|Macro|Center III|Center III|South 2|Mobiserve|R2|31||69|South
ABB4361|RYK_317Z_1_LCK|ABB4361|ZTE|ABBASIA|ZTE OMC|Silver|Silver|Macro|Center III|Center III|South 2|Mobiserve|R2|31||69|South
ABD8702|SGD162E|ABD8702|Ericsson|Sargodha|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|EPTSC|R2|20||31|Central-II
ABD8704|SGD162E|ABD8704|Ericsson|Sargodha|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 2|EPTSC|R2|20||31|Central-II
ABH4291|MUL152E|ABH4291|Ericsson|ABDULHAKIM|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|EPTSC|R2|23||34|Central-II
ABH4954|MUL152E|ABH4954|Ericsson|ABDULHAKIM|Ericsson OMC|Platinum|Platinum|Macro|Center III|Center III|Central 3|EPTSC|R2|23||#N/A|Central-II
ABN4370|BHP105E|ABN4370|Ericsson|AbbasNayar|Ericsson OMC|Silver|Silver|Macro|Center III|Center III|Central 3|Mobiserve|R2|27||35|Central-II
ABT0080|ISB001H__I10_ISB_1|ABT0080__H_Kholla_Abbotabad|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT0286|ISB006H__I10_ISB_6|ABT0286__H_MuqaddasPlaza|Huawei|ABBOTABAD|Huawei OMC|Hub|Hub|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT0836|ISB001H__I10_ISB_1|ABT0836__H_Sikandarabad|Huawei|ABBOTABAD|Huawei OMC|Hub|Hub|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT1042|ISB001H__I10_ISB_1|ABT1042__P_SarbanChowk|Huawei|ABBOTABAD|Huawei OMC|Platinum|Platinum|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT1159|ISB001H__I10_ISB_1|ABT1159__S_Jhugiaan|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT1416|ISB001H__I10_ISB_1|ABT1416__S_HabibullahColony|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT1451|ISB001H__I10_ISB_1|ABT1451__S_Narian|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT1452|ISB001H__I10_ISB_1|ABT1452__P_JabpulJahngi|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT1553|ISB006H__I10_ISB_6|ABT1553__S_AyubComplex|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT1709|ISB006H__I10_ISB_6|ABT1709__S_Abottabad1N|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT1869|ISB001H__I10_ISB_1|ABT1869__S_BanniTownship|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT2076|ISB006H__I10_ISB_6|ABT2076__P_Mandian|Huawei|ABBOTABAD|Huawei OMC|Platinum|Platinum|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT2587|ISB006H__I10_ISB_6|ABT2587__S_JamiaGhousia|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|15||14|North
ABT7004|ISB006H__I10_ISB_6|ABT7004__U_FMCMIC|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Micro/Mini|North|North I|North 3|EPTSC|R1|15||14|North
ABT7128|ISB001H__I10_ISB_1|ABT7128__S_WaheedcentreMini|Huawei|ABBOTABAD|Huawei OMC|Silver|Silver|Micro/Mini|North|North I|North 3|EPTSC|R1|15||14|North
ABW8562|BHP100E|ABW8562|Ericsson|AbwarraShumali|Ericsson OMC|Hub|Hub|Macro|Center III|Center III|Central 3|Mobiserve|R2|28||37|Central-II
