
alcomc5m,# BSC_NUM, BTS_INDEX, BTS_NAME, BTS_HW_GENERATION
alcomc5m,10,1,HGW6129__S_Khairpur_SugarMills,
alcomc5m,10,10,KDJ6145__P_PSOPump_KotBag_OLD,
alcomc5m,10,11,SDS7129__S_ShadiShaheed,
alcomc5m,10,12,KDJ6144__S_PS_Kot_Diji_2_OLD,
alcomc5m,10,13,KDJ6145__P_PSOPump_KotBag2_OLD,
alcomc5m,10,2,HGW6129__S_KhairpurSugarMills_D,
alcomc5m,10,21,KDK6534__S_GothGhulamAkber_ML,
alcomc5m,10,3,HGW6325__H_MadinaFillingSt,
alcomc5m,10,33,SBT0040__S_Sohbatpur_UP_OLD,
alcomc5m,10,4,HGW6325__H_MadinaFillingSt_C,
alcomc5m,10,5,HGW6693_S_ChndiaVilageFaia_2_OLD,
alcomc5m,10,50,JAC6870__S_PechoohaPhatak_ML,
alcomc5m,10,6,HGW6693__S_ChndiaVilageFarda_OLD,
alcomc5m,10,7,KDJ5102__P_Kot_Banglow,
alcomc5m,10,8,KDJ5102__P_Kot_Banglow_D,
alcomc5m,10,9,KDJ6144__S_PS_Kot_Diji_OLD,
alcomc5m,11,1,NSB6044__H_HBankNasirabad_3_OLD,
alcomc5m,11,10,MHE5841__P_Mehar_Bypass_ML,
alcomc5m,11,11,LAL6530__S_Drib_Mangneja_OLD,
alcomc5m,11,12,HGW7121__S_Fareedabad_OLD,
alcomc5m,11,13,WAR6876__P_Kuhawr_Mohlah_DCS_OLD,
alcomc5m,11,14,BDR6082__H_Badrah_TXN_Rpt_OLD,
alcomc5m,11,15,dumm,
alcomc5m,11,16,MHE7040__S_Saqib_Colony_2,
alcomc5m,11,17,SIT0823__S_SetaRehmaniNagar_OLD,
alcomc5m,11,18,MHE7040__S_Saqib_Colony,
alcomc5m,11,19,MHE5840__P_Mehar_High_School,
alcomc5m,11,2,ARI7105__S_Arija_UP_OLD,
alcomc5m,11,20,MHE6542__S_Madina_Colony,
alcomc5m,11,21,GJI7120__S_GajiKhuhawar_OLD,
alcomc5m,11,22,BDR6082__H_Badrah_TXN_RptDCS_old,
alcomc5m,11,23,MHE5842__H_Mehar_City,
alcomc5m,11,24,MHE5842__H_Mehar_City_DCS,
alcomc5m,11,25,NSB6044__H_HBank_Nasirabad_OLD,
alcomc5m,11,26,HGW0824__S_BeethaJatoiMehar_OLD,
alcomc5m,11,27,BDR6871__S_NoonariMohallah_OLD,
alcomc5m,11,28,KNS0822__S_GothGozo_KNShah,
alcomc5m,11,29,HGW0820__S_ModhoKNShah_OLD,
alcomc5m,11,3,WAR6876__P_Khuhawar_Mohallah_OLD,
alcomc5m,11,30,BKN7104__H_Bakrani_OLD,
alcomc5m,11,31,DOK6186__S_UnarhHouse_OLD,
alcomc5m,11,32,NSB6044__H_HBank_Nasirabad_D_OLD,
alcomc5m,11,33,DOK6186__S_UnarhHouse_DCS_OLD,
alcomc5m,11,34,DOK6187__H_AlNur_RiceMill_OLD,
alcomc5m,11,35,ALH6611__P_Piaro_OLD,
alcomc5m,11,36,HGW9704__P_MeharGasField,
alcomc5m,11,37,ALH6612__S_Fulji_Station_OLD,
alcomc5m,11,38,HGW9704__P_MeharGasField_2,
alcomc5m,11,39,BYA6191__S_GothIbrahimChanna_OLD,
alcomc5m,11,4,WAR6383__S_RasolBxBrhiWrah_D_OLD,
alcomc5m,11,40,BYA6192__S_Goth_Gul_Solangi_OLD,
alcomc5m,11,41,KKR6043__S_Kakar_DTE_OLD,
alcomc5m,11,42,FDB7132__S_Faridabad_OLD,
alcomc5m,11,43,KKR7795__S_Khat_Lashkar_OLD,
alcomc5m,11,44,KNS5782__H_KN_Shah_DTE,
alcomc5m,11,45,KNS5782__H_KN_Shah_DTE_DCS,
alcomc5m,11,46,KNS5831__S_KNShahHighSchool,
alcomc5m,11,47,HGW0085__S_VilGulamHusainBut_OLD,
alcomc5m,11,48,KNS5832__S_KNShahHighway,
alcomc5m,11,49,MON5100__S_GotRatKhanLeghari_OLD,
alcomc5m,11,5,WAR6383__S_RasolBxBrohiWarah_OLD,
alcomc5m,11,50,MON5106__S_Goth_Monder_OLD,
alcomc5m,11,51,MHE5840__P_Mehar_High_School_2,
alcomc5m,11,52,TRH0089__S_GothMazarBhurgari_OLD,
alcomc5m,11,53,KKR7795__S_Khat_Lashkar_DCS_OLD,
alcomc5m,11,54,WAR6381__S_KndoBsStpWrahDC_2_OLD,
alcomc5m,11,55,LAL6530__S_Drib_Mangneja_DCS_OLD,
alcomc5m,11,56,MHE5840__P_Mehar_High_School_3,
alcomc5m,11,57,KKR6043__S_Kakar_DTE2_OLD,
alcomc5m,11,6,NSB5601__S_SaeedKhanPanwhar_OLD,
alcomc5m,11,7,NSB6364__S_Jni_Band_Nasrabad_OLD,
alcomc5m,11,8,WAR6381__S_KndoBusStpWarahDC_OLD,
alcomc5m,11,9,WAR6382__S_VillageSherMohd_OLD,
alcomc5m,12,1,BDR6082__H_Badrah_TXN_Rpt_OLD,
alcomc5m,12,10,RAD6367__S_East_RicemilRad_D_OLD,
alcomc5m,12,11,RAD6368__S_Village_Radhan_OLD,
alcomc5m,12,12,SPJ7083__S_ShahPanjo_OLD,
alcomc5m,12,13,DOK6186__S_UnarhHouse_DCS_OLD,
alcomc5m,12,2,BDR6082__H_Bdrah_TXN_Rpt_DCS_OLD,
alcomc5m,12,3,BDR6871__S_NoonariMohallah_OLD,
alcomc5m,12,38,LKN6863__S_PIR_Shair_ML,
alcomc5m,12,4,HGW0085__S_VilGulamHusainButt_OL,
alcomc5m,12,44,FDB7132__S_Faridabad_OLD,
alcomc5m,12,45,BKN7104__H_Bakrani_OLD,
alcomc5m,12,5,HGW7015__S_GothMasooJalbani_OLD,
alcomc5m,12,53,ARI7105__S_Arija_UP_OLD,
alcomc5m,12,55,DOK6186__S_UnarhHouse_OLD,
alcomc5m,12,57,DOK6187__H_AlNur_RiceMill_OLD,
alcomc5m,12,6,NGT5878__S_Nawa_Goth_OLD,
alcomc5m,12,7,RAD6366__S_Thairiri_Mohabbat_OLD,
alcomc5m,12,8,RAD6366__S_Triri_Mohabat_DCS_OLD,
alcomc5m,12,9,RAD6367__P_Eastern_RiceMill_OLD,
alcomc5m,13,1,SPT6736__S_Riazabad,
alcomc5m,13,10,HGW5069__S_Deh_Soomar_Wari,
alcomc5m,13,11,HGW5074__S_Khenwari,
alcomc5m,13,12,HGW5075__S_Kirir_Aradian,
alcomc5m,13,13,HGW5157__S_Pir_Abo_OLD,
alcomc5m,13,14,HGW5158__S_Goth_Odher,
alcomc5m,13,15,HGW5160__S_DehGadro,
alcomc5m,13,16,HGW5162__S_Dasht_e_Gonie,
alcomc5m,13,17,HGW5169__S_Goth_Sahi_Patt,
alcomc5m,13,18,HGW5171__S_GothAshiqHussain,
alcomc5m,13,2,HGW5215__S_GothYarJamali_2_OLD,
alcomc5m,13,21,ROP0220__S_GothThikRatho,
alcomc5m,13,22,SPT0071__S_SaddatMohallah_TP,
alcomc5m,13,23,SPT6737__H_GothBargah,
alcomc5m,13,24,HGW5186__S_Kandhlo,
alcomc5m,13,25,HGW5190__S_Deh_Suterio,
alcomc5m,13,26,HGW5172__S_GothGarharBhoonghar,
alcomc5m,13,27,HGW5174__P_Taman_Bhambro,
alcomc5m,13,28,HGW5175__S_DhandSimini,
alcomc5m,13,29,HGW5987__P_Kadanwari_OMV,
alcomc5m,13,3,HGW6928__S_GothDraWahShaidUF_OLD,
alcomc5m,13,30,JNJ0096__S_DarGahHimatAliShah,
alcomc5m,13,31,JNJ0097__S_JanooJee,
alcomc5m,13,32,LLJ5287__S_ShahbazDinoKherKhoni,
alcomc5m,13,33,HGW5002__S_Jakheree_OLD,
alcomc5m,13,34,HGW5004__S_Paneri_OLD,
alcomc5m,13,35,HGW5016__S_GothMalharFakir_OLD,
alcomc5m,13,36,HGW5026__S_AkroShahar_OLD,
alcomc5m,13,37,HGW5210__S_GoT_FatehMuhammad_OLD,
alcomc5m,13,38,HGW5215__S_GothYrJamai_2C_OLD,
alcomc5m,13,39,HGW5217__S_Chuk3_OLD,
alcomc5m,13,40,LLJ5286__H_GothShambaniAllahAndo,
alcomc5m,13,41,HGW5988__P_Sawan_OMV,
alcomc5m,13,42,CKO6093__P_ChundKo,
alcomc5m,13,43,HGW5210A__S_Goth_FatehMOHd_A_OLD,
alcomc5m,13,44,CKO5124__S_NearRangerCamp,
alcomc5m,13,45,NRA0984__S_GothHajiKhan,
alcomc5m,13,46,TJL0981__S_Goth_AllahDinoAradin,
alcomc5m,13,5,JMH7054__S_Jamrao_Head_OLD,
alcomc5m,13,53,HGW9669__U_OMVRehmatGasPlant,
alcomc5m,13,58,CKO6093__P_ChundKo_2,
alcomc5m,13,59,CKO5142__H_WaterCourse_RDW_DCS,
alcomc5m,13,6,PAT6656__S_Adeel_Mehr,
alcomc5m,13,60,CKO5142__S_WaterCourse_RDW,
alcomc5m,13,61,HGW5863__S_Sangrar_Highway_NEW,
alcomc5m,13,62,PAT6656__S_Adeel_Mehr2,
alcomc5m,13,8,PAT6657__S_Goth_Bux_Katpar,
alcomc5m,13,9,HGW5063__P_PirBuxAradian,
alcomc5m,17,1,JWR5754__S_Jarwar_1,
alcomc5m,17,10,JWR5829__H_Pattafi_Jarwar,
alcomc5m,17,11,JWR6267__S_Pathan_Goth_Jarwar,
alcomc5m,17,12,DHA6648_S_GothNawazKhanLaghari_C,
alcomc5m,17,13,LAG6625__S_Chatta_Kot_Laghari_D,
alcomc5m,17,14,LAG6626__S_AdamKhanMehar,
alcomc5m,17,15,HGW5181__S_JhumSotario_5,
alcomc5m,17,16,HGW5180__S_DehKhenjoo,
alcomc5m,17,17,JWR5829__H_Pattafi_Jarwar_A,
alcomc5m,17,18,BRR5871__S_Goth_Ali_Mahar,
alcomc5m,17,19,BRR5875__S_Goth_Khuda_Bux_Khush,
alcomc5m,17,2,JWR5830__S_Jawar_Shaib_Khan,
