
# BSC_NUM, BTS_INDEX, CELL_LAC, CELL_CI, CELL_NAME, TRX_NB,alcomc5m
10,21,537,16534,KDK6534A__S_Goth_Ghulam_Akber_ML,4,alcomc5m
10,21,537,26534,KDK6534B__S_Goth_Ghulam_Akber_ML,6,alcomc5m
10,21,537,36534,KDK6534C__S_Goth_Ghulam_Akber_ML,4,alcomc5m
10,50,537,16870,JAC6870A__S_PechoohaPhatak_ML,4,alcomc5m
10,50,537,26870,JAC6870B__S_PechoohaPhatak_ML,6,alcomc5m
10,50,537,36870,JAC6870C__S_PechoohaPhatak_ML,4,alcomc5m
11,10,560,15841,MHE5841A__P_Mehar_Bypass_ML,4,alcomc5m
11,10,560,25841,MHE5841B__P_Mehar_Bypass_ML,4,alcomc5m
11,10,560,35841,MHE5841C__P_Mehar_Bypass_ML,7,alcomc5m
11,10,560,5841,MHE5841F__P_Mehar_Bypass_ML,4,alcomc5m
12,38,562,16863,LKN6863A__S_Pir_Shair_ML,4,alcomc5m
12,38,562,26863,LKN6863B__S_PIR_Shair_ML,5,alcomc5m
12,38,562,36863,LKN6863C__S_PIR_Shair_ML,6,alcomc5m
21,38,508,12521,MBT2521A__S_Sndh_Engro_Coal,2,alcomc5m
21,38,508,22521,MBT2521B__S_Sndh_Engro_Coal,2,alcomc5m
21,38,508,32521,MBT2521C__S_Sndh_Engro_Coal,2,alcomc5m
23,1,514,10700,GWR0700A__S_GothBhojRajeo_ML,2,alcomc5m
23,1,514,20700,GWR0700B__S_GothBhojRajeo_ML,2,alcomc5m
23,1,514,30700,GWR0700C__S_GothBhojRajeo_ML,2,alcomc5m
24,39,203,15583,KHI5583A__S_Pakland_Estate_L1_ML,0,alcomc5m
24,39,203,25583,KHI5583B__S_Pakland_Estate_L1_ML,0,alcomc5m
24,39,203,35583,KHI5583C__S_Pakland_Estate_L1_ML,0,alcomc5m
24,50,203,15587,KHI5587A__S_Quarter_120_Sctr_ML,0,alcomc5m
24,50,203,25587,KHI5587B__S_Quarter_120_Sctr_ML,0,alcomc5m
24,50,203,35587,KHI5587C__S_Quarter_120_Sctr_ML,0,alcomc5m
24,59,203,19961,KHI9961A__U_ApparelConnection,2,alcomc5m
24,9,203,15589,KHI5589A__S_Bismillah_Stel_PQ_SS,0,alcomc5m
24,9,203,25589,KHI5589B__S_Bismillah_Stel_PQ_SS,0,alcomc5m
24,9,203,35589,KHI5589C__S_Bismillah_Stel_PQ_SS,0,alcomc5m
26,40,543,16847,NWB6847A__S_KeerioRoad_ML,0,alcomc5m
26,40,543,26847,NWB6847B__S_KeerioRoad_ML,0,alcomc5m
26,40,543,36847,NWB6847C__S_KeerioRoad_ML,0,alcomc5m
29,20,536,15022,KHI5022A__S_Edward_American_SS,0,alcomc5m
29,20,536,25022,KHI5022B__S_Edward_American_SS,0,alcomc5m
29,20,536,35022,KHI5022C__S_Edward_American_SS,0,alcomc5m
29,23,536,19605,KHI9605A__T_PatelHospital_ML,0,alcomc5m
29,24,536,15258,KHI5258A__S_Aero_Club_IdealCo_SS,0,alcomc5m
29,24,536,25258,KHI5258B__S_Aero_Club_IdealCo_SS,0,alcomc5m
29,24,536,35258,KHI5258C__S_Aero_Club_IdealCo_SS,0,alcomc5m
29,25,536,19458,KHI9458A__T_SamdaniHospital_ML,0,alcomc5m
29,27,536,19599,KHI9599A__S_Nadeem_MedicalCen_ML,0,alcomc5m
29,28,536,13745,KHI3745A__S_RelctnMatricBoard_SS,0,alcomc5m
29,28,536,23745,KHI3745B__S_RelctnMatricBoard_SS,0,alcomc5m
29,28,536,33745,KHI3745C__S_RelctnMatricBoard_SS,0,alcomc5m
29,29,536,19407,KHI9407A__T_FoodStreet_FB_Ara_SS,0,alcomc5m
29,29,536,29407,KHI9407B__T_FoodStreet_FB_Ara_SS,0,alcomc5m
29,30,536,19372,KHI9372A__Q_GoalMkt_Nazimabad_SS,0,alcomc5m
29,30,536,29372,KHI9372B__Q_GoalMkt_Nazimabad_SS,0,alcomc5m
29,31,536,19374,KHI9374A__T_Paposh_Cloth_Mark_SS,0,alcomc5m
29,31,536,29374,KHI9374B__T_Paposh_Cloth_Mark_SS,0,alcomc5m
34,1,251,10001,KHI0001A__U_Test_Micro,2,alcomc5m
34,19,251,15313,KHI5313A__S_Model_Colony_ML,7,alcomc5m
34,19,251,25313,KHI5313B__S_Model_Colony_ML,4,alcomc5m
34,19,251,35313,KHI5313C__S_Model_Colony_ML,7,alcomc5m
34,23,251,15463,KHI5463A__S_Shadiana_Marriage_ML,5,alcomc5m
34,23,251,25463,KHI5463B__S_Shadiana_Marriage_ML,4,alcomc5m
34,23,251,35463,KHI5463C__S_Shadiana_Marriage_ML,4,alcomc5m
35,16,242,19711,KHI9711A__T_KausarMehal_ML,1,alcomc5m
35,16,242,29711,KHI9711B__T_KausarMehal_ML,1,alcomc5m
35,17,242,19802,KHI9802A__U_JP_Coat_SS,0,alcomc5m
36,14,206,16139,CJM6139A__S_Rehman_Estate_Chr_ML,0,alcomc5m
36,14,206,26139,CJM6139B__S_Rehman_Estate_Chr_ML,0,alcomc5m
36,14,206,36139,CJM6139C__S_Rehman_Estate_Chr_ML,0,alcomc5m
36,2,206,16834,TMN6834A__S_Rain_Drop_ML,0,alcomc5m
36,2,206,26834,TMN6834B__S_Rain_Drop_ML,0,alcomc5m
36,2,206,36834,TMN6834C__S_Rain_Drop_ML,0,alcomc5m
36,3,206,16376,TBG6376A__S_DTE_Tando_Bagho_ML,4,alcomc5m
36,3,206,26376,TBG6376B__S_DTE_Tando_Bagho_ML,4,alcomc5m
