/home/omcadmin Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	PGB2197__S_CIVILCOURTS            	1	410-01-620-12197                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	PGB2197__S_CIVILCOURTS            	1	410-01-620-22197                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	PGB2197__S_CIVILCOURTS            	1	410-01-620-32197                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	PGB1933__S_KHAJURWALA             	2	410-01-620-11933                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	PGB1933__S_KHAJURWALA             	2	410-01-620-21933                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	PGB1933__S_KHAJURWALA             	2	410-01-620-31933                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	DNL1497__S_Ahmedal                	3	410-01-620-11497                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	DNL1497__S_Ahmedal                	3	410-01-620-21497                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	DNL1497__S_Ahmedal                	3	410-01-620-31497                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	NHR2568__S_VillageNoshera         	4	410-01-620-12568                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	NHR2568__S_VillageNoshera         	4	410-01-620-22568                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	NHR2568__S_VillageNoshera         	4	410-01-620-32568                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	KMI2883__S_Kamrial                	5	410-01-620-12883                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	KMI2883__S_Kamrial                	5	410-01-620-22883                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	KMI2883__S_Kamrial                	5	410-01-620-32883                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	SWY2571__S_Sarwaya                	6	410-01-620-12571                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	SWY2571__S_Sarwaya                	6	410-01-620-22571                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	SWY2571__S_Sarwaya                	6	410-01-620-32571                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	GRW1026__H_GhareebWal             	11	410-01-620-11026                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	GRW1026__H_GhareebWal             	11	410-01-620-21026                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	GRW1026__H_GhareebWal             	11	410-01-620-31026                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	HWY2158__S_DhokPathan             	20	410-01-620-12158                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	HWY2158__S_DhokPathan             	20	410-01-620-22158                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	HWY2158__S_DhokPathan             	20	410-01-620-32158                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	KOR1204__S_Dhaliaan               	21	410-01-620-11204                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	KOR1204__S_Dhaliaan               	21	410-01-620-21204                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	KOR1204__S_Dhaliaan               	21	410-01-620-31204                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	KOR2042__S_Khor                   	22	410-01-620-12042                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	KOR2042__S_Khor                   	22	410-01-620-22042                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	KOR2042__S_Khor                   	22	410-01-620-32042                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	PGB1131__S_BanoraChkPindigheb     	23	410-01-620-11131                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	PGB1131__S_BanoraChkPindigheb     	23	410-01-620-21131                   Sunfire4
FTJ313M__BSC88_MSC5_NA2_8         	PGB1131__S_BanoraChkPindigheb     	23	410-01-620-31131                   Sunfire4
