Msoft ,Msoft Ips,MGWs,MGW IPs ,OPC
HW15 QTA,10.65.25.21,HW15-QTA1-MGW,10.65.25.25,902
HW18 SWL,10.20.29.21,HW18-SWL1-MGW,10.20.29.25,139F
HW23 SKT    ,10.31.25.41,HW23-SKT2-MGW,10.31.25.45,130D
HW4 FSD ,10.182.24.105,HW4 FSD MGW1,10.218.4.34,102F
HW4 FSD ,10.182.24.105,HW4FSD-MGW3,10.215.8.99,1856
HW5 MUL,10.184.20.100,HW5 MLT MGW1,10.218.5.3,1851
HW5 MUL,10.184.20.100,HW5FSD-MGW7,10.215.8.122,103A
HW17 KHI,10.65.23.135,HW 17 KHI MGW1,10.65.23.139,935
HW17 KHI,10.65.23.135,HW17KHI-MGW6,10.215.8.6,93C
HW3 KHI,10.65.23.101,HW3 KHI MGW1,10.65.23.105,8A0
HW3 KHI,10.65.23.101,HW3KHI-MGW4,10.215.8.2,949
HW8 KHI,10.65.23.112,HW8 KHI 2 MGW1,10.65.23.116,8B2
HW8 KHI,10.65.23.112,HW8 KHI-MGW5,10.215.8.4,93D
HW1 ISB,10.175.20.21,HW1 ISB MGW1,10.218.1.3,DEF
HW1 ISB,10.175.20.21,HW1ISB-MGW4,10.215.8.34,16B6
HW6 ISB,10.175.4.10,HW6 ISB MGW 1,10.122.20.112,142A
