Msoft ,Msoft Ips,MGWs,MGW IPs ,OPC ,
HW9 PSH,10.122.20.101,HW09-PSH1-MGW,10.122.20.105,1432,5170
HW10 ISB,10.175.4.20,HW10-ISB3-MGW,10.175.4.24,1430,5168
HW11 RYK,10.31.24.21,HW11-RYK1-MGW,10.31.24.25,1035,4149
HW13 GUJ,10.20.26.21,HW13-GUJ1-MGW,10.20.26.25,1262,4706
HW15 QTA,10.65.25.21,HW15-QTA1-MGW,10.65.25.25,902,2306
HW16SUK,10.65.26.21,HW16-SUK1-MGW,10.65.26.25,903,2307
HW18 SWL,10.20.29.21,HW18-SWL1-MGW,10.20.29.25,139F,5023
HW20 JHL,10.110.22.21,HW20-JHE1-MGW,10.110.22.25,1557,5463
HW21 SUK,10.65.26.41,HW21-SUK2-MGW,10.65.26.45,1C1A,7194
HW22 FSD,10.31.50.21,HW22-FSD2-MGW,10.31.50.25,1199,4505
HW23 SKT    ,10.31.25.41,HW23-SKT2-MGW,10.31.25.45,130D,4877
HW26 HYD,10.65.28.21,HW26-HYD1-MGW,10.65.28.25,9F5,2549
HW27 HYD,10.65.28.34,HW27-HYD2-MGW,10.65.28.38,9F6,2550
HW28 MRD,10.110.23.21,HW28-MRD1-MGW,10.110.23.25,1653,5715
HW29 MZH,10.31.51.21,HW29-MZH1-MGW,10.31.51.25,1857,6231
HW30 BHP ,10.31.52.21,HW30-BHP1-MGW,10.31.52.25,1C4E,7246
HW31 GJN,10.20.27.32,HW31-GJN2-MGW,10.20.27.36,12F7,4855
HW2 LHR ,10.20.23.100,HW2LHR-MGW1,10.20.23.104,1250,4688
HW2 LHR ,10.20.23.100,HW2LHR-MGW3,10.215.8.130,129F,4767
HW7 LHR ,10.20.23.112,HW7 LHR-MGW1,10.20.23.116,1260,4704
HW7 LHR ,10.20.23.112,HW7 LHR-MGW4,10.215.8.132,129E,4766
HW14 GJN,10.20.27.21,HW14 GJN-MGW1,10.20.27.25,126A,4714
HW14 GJN,10.20.27.21,HW14 LHR-MGW5,10.215.8.134,12F8,4856
HW12 SKT,10.31.25.21,HW12 SKT 1 MGW1,10.31.25.25,1036,4150
HW12 SKT,10.31.25.21,HW12FSD-MGW4,10.215.8.104,1859,6233
HW19 SGD,10.31.28.21,HW19 SGD MGW1,10.31.28.25,1369,4969
HW19 SGD,10.31.28.21,HW19FSD-MGW5,10.215.8.110,1858,6232
HW24 SGD,10.31.27.21,HW24 SGD 2 MGW1,10.31.27.25,136A,4970
HW24 SGD,10.31.27.21,HW24FSD-MGW6,10.215.8.116,1348,4936
HW25 MUL,10.184.50.21,HW25 MLT 2 MGW1,10.184.50.25,1855,6229
HW25 MUL,10.184.50.21,HW25 FSD-MGW8,10.215.8.126,1037,4151
HW4 FSD ,10.218.4.2,HW4 FSD MGW1,10.218.4.34,102F,4143
HW4 FSD ,10.218.4.2,HW4FSD-MGW3,10.215.8.99,1856,6230
HW5 MUL,10.218.5.2,HW5 MLT MGW1,10.218.5.3,1851,6225
HW5 MUL,10.218.5.2,HW5FSD-MGW7,10.215.8.122,103A,4154
HW17 KHI,10.65.23.135,HW 17 KHI MGW1,10.65.23.139,935,2357
HW17 KHI,10.65.23.135,HW17KHI-MGW6,10.215.8.6,93C,2364
HW3 KHI,10.65.23.101,HW3 KHI MGW1,10.65.23.105,8A0,2208
HW3 KHI,10.65.23.101,HW3KHI-MGW4,10.215.8.2,949,2377
HW8 KHI,10.65.23.112,HW8 KHI 2 MGW1,10.65.23.116,8B2,2226
HW8 KHI,10.65.23.112,HW8 KHI-MGW5,10.215.8.4,93D,2365
HW1 ISB,10.218.1.2,HW1 ISB MGW1,10.218.1.3,DEF,3567
HW1 ISB,10.218.1.2,HW1ISB-MGW4,10.215.8.34,16B6,5814
HW6 ISB,10.175.4.10,HW6 ISB MGW 1,10.122.20.112,142A,5162
HW6 ISB,10.175.4.10,HW6 MGW2 PSH,10.175.4.14,142C,5164
,,,,,0
