HW1 ISB,10.175.20.21,HW1 ISB MGW1,10.218.1.3,DEF
HW1 ISB,10.175.20.22,HW1ISB-MGW4,10.215.8.34,16B6
HW10 ISB,10.175.4.20,HW10-ISB3-MGW,10.175.4.24,0
HW11 RYK,10.31.24.21,HW11-RYK1-MGW,10.31.24.25,0
HW12 SKT,10.31.25.21,HW12 SKT 1 MGW1,10.31.25.25,1036
HW12 SKT,10.31.25.22,HW12FSD-MGW4,10.215.8.104,1859
HW13 GUJ,10.20.26.21,HW13-GUJ1-MGW,10.20.26.25,0
HW14 GJN,10.20.27.21,HW14 GJN-MGW1,10.20.27.25,126A
HW14 GJN,10.20.27.22,HW14 LHR-MGW5,10.215.8.134,12F8
HW15 QTA,10.65.25.21,HW15-QTA1-MGW,10.65.25.25,0
HW16SUK,10.65.26.21,HW16-SUK1-MGW,10.65.26.25,0
HW17 KHI,10.65.23.135,HW 17 KHI MGW1,10.65.23.139,935
HW17 KHI,10.65.23.136,HW17KHI-MGW6,10.215.8.6,93C
HW18 SWL,10.20.29.21,HW18-SWL1-MGW,10.20.29.25,0
HW19 SGD,10.31.28.21,HW19 SGD MGW1,10.31.28.25,1369
HW19 SGD,10.31.28.22,HW19FSD-MGW5,10.215.8.110,1858
HW2 LHR ,10.20.23.100,HW2LHR-MGW1,10.20.23.104,1250
HW2 LHR ,10.20.23.101,HW2LHR-MGW3,10.215.8.130,129F
HW20 JHL,10.110.22.21,HW20-JHE1-MGW,10.110.22.25,0
HW21 SUK,10.65.26.41,HW21-SUK2-MGW,10.65.26.45,0
HW22 FSD,10.31.50.21,HW22-FSD2-MGW,10.31.50.25,0
HW23 SKT    ,10.31.25.41,HW23-SKT2-MGW,10.31.25.45,0
HW24 SGD,10.31.27.21,HW24 SGD 2 MGW1,10.31.27.25,136A
HW24 SGD,10.31.27.22,HW24FSD-MGW6,10.215.8.116,1348
HW25 MUL,10.184.50.21,HW25 MLT 2 MGW1,10.184.50.25,1855
HW25 MUL,10.184.50.22,HW25 FSD-MGW8,10.215.8.126,1037
HW26 HYD,10.65.28.21,HW26-HYD1-MGW,10.65.28.25,0
HW27 HYD,10.65.28.34,HW27-HYD2-MGW,10.65.28.38,0
HW28 MRD,10.110.23.21,HW28-MRD1-MGW,10.110.23.25,0
HW29 MZH,10.31.51.21,HW29-MZH1-MGW,10.31.51.25,0
HW3 KHI,10.65.23.101,HW3 KHI MGW1,10.65.23.105,8A0
HW3 KHI,10.65.23.102,HW3KHI-MGW4,10.215.8.2,949
HW30 BHP ,10.31.52.21,HW30-BHP1-MGW,10.31.52.25,0
HW31 GJN,10.20.27.32,HW31-GJN2-MGW,10.20.27.36,0
HW4 FSD ,10.182.24.105,HW4 FSD MGW1,10.218.4.34,102F
HW4 FSD ,10.182.24.106,HW4FSD-MGW3,10.215.8.99,1856
HW5 MUL,10.184.20.100,HW5 MLT MGW1,10.218.5.3,1851
HW5 MUL,10.184.20.101,HW5FSD-MGW7,10.215.8.122,103A
HW6 ISB,10.175.4.10,HW6 ISB MGW 1,10.122.20.112,142A
HW6 ISB,10.175.4.11,HW6 MGW2 PSH,10.175.4.14,142C
HW7 LHR ,10.20.23.112,HW7 LHR-MGW1,10.20.23.116,1260
HW7 LHR ,10.20.23.113,HW7 LHR-MGW4,10.215.8.132,129E
HW8 KHI,10.65.23.112,HW8 KHI 2 MGW1,10.65.23.116,8B2
HW8 KHI,10.65.23.113,HW8 KHI-MGW5,10.215.8.4,93D
HW9 PSH,10.122.20.101,HW09-PSH1-MGW,10.122.20.105,0
Msoft ,Msoft Ips,MGWs,MGW IPs ,OPC
